i,timestamp,t_time,collisions
2,0.41577644897187116,6,0
8,0.7932533257381481,16,0
5,8.625540731341605,19,0
1,14.452568246962747,22,0
4,28.82522812140744,32,0
3,31.81435083204297,43,0
6,34.36526979712632,46,0
2,38.0859223572523,50,0
0,50.909509114270655,53,0
9,49.87513773222766,55,0
3,39.84357887524194,56,0
3,51.46754357383325,57,0
6,56.015142316714844,62,0
0,65.94287709296069,66,0
9,62.65501846314567,69,0
2,41.19399898389025,71,1
4,50.622472909524426,73,1
6,72.84600096263598,85,0
2,77.31679749775802,86,0
6,81.40170556111349,89,0
5,79.77517924015686,92,0
2,81.13704061016225,101,0
6,99.9529571733623,102,0
8,91.60483362699927,104,0
1,92.02077228302954,106,0
9,105.85144203178649,115,0
7,102.19672044132697,116,0
7,122.39821496395015,129,0
0,129.04636294872492,137,0
4,132.72686547903322,141,0
4,134.60050170304154,149,0
2,144.03611469529125,158,0
0,150.98637904520444,166,0
1,159.0952549466504,171,0
5,171.80256474538032,172,0
5,173.12674293262813,174,0
9,164.1271296305447,175,0
8,166.7015264325363,177,0
0,176.69521759644738,183,0
0,180.71209301402655,184,0
3,187.7479347026554,189,0
3,187.91346960384473,191,0
0,188.15007739557083,193,0
0,190.46651856225486,209,0
8,201.5130571884992,211,0
2,214.8887222141663,223,1
1,220.34088741407658,230,0
7,215.58639333896062,231,0
8,204.39801810249364,233,1
5,247.91317110447767,258,0
0,247.01400197625077,259,0
7,254.0647983805681,263,0
4,259.2081329613479,271,0
5,271.53250230795686,274,0
2,267.9441996680092,276,0
7,256.38241522813934,277,0
7,279.47305940966635,282,0
9,282.83421915117043,283,0
6,280.7110116244818,285,0
3,254.80562351109262,293,1
1,263.17587122549253,296,1
1,279.4790693407579,297,0
8,294.8334179807796,298,0
9,291.3909883736626,306,0
2,294.5583545365975,309,1
7,309.57396672008576,311,0
5,317.78994682508574,321,0
7,319.09897235006844,323,0
4,314.3317647828258,324,0
2,308.4298344748879,325,0
3,307.51832223863903,328,1
9,323.94570368529685,333,0
9,329.1495297914488,336,0
6,337.2246159992637,347,1
9,348.1453430540111,356,0
0,325.12806812086876,357,1
1,348.08929005090386,360,0
9,348.8387995951142,362,0
9,359.0134524809217,366,0
3,357.2771995020371,369,0
7,358.11107083785237,372,0
1,353.7257949905252,373,0
8,364.33817527274056,374,0
5,362.52955999149594,375,1
1,359.5194506689248,386,0
6,374.5327613329829,389,0
2,381.1016243813128,401,1
5,427.063434784387,432,0
4,422.6350198704554,441,1
7,412.0976900350036,444,1
3,423.3427659975451,445,1
8,425.68188454428724,452,1
3,427.0987909209078,460,0
8,427.1275047407284,461,0
3,459.4769633573811,464,0
1,457.7923406243517,468,0
2,388.75764814361145,470,2
8,460.7276209919032,477,0
2,485.267080627269,486,0
8,475.1233654924648,491,2
3,484.3422468514059,495,0
2,486.62541286290343,496,0
6,479.883563702101,497,1
3,496.86908063607154,504,0
6,499.7988128725173,513,0
5,511.5312558065555,520,0
9,508.826532117864,521,0
8,515.0685639430989,526,0
9,532.3232233320883,535,0
6,520.2555704100147,536,0
4,539.2130741085914,545,0
7,555.2303117722576,563,0
6,572.9690873685734,573,0
