i,timestamp,t_time,collisions
1,2.492680470904362,3,0
3,3.8322624023167684,4,0
3,11.695158494579218,13,1
3,12.284315438440998,14,0
3,15.578597315068809,16,0
1,8.301240776580208,18,3
1,11.489940726028797,19,0
1,16.071447013540883,20,0
3,20.996068203751797,25,2
1,20.86962969402356,29,3
1,21.03826431698003,30,0
1,30.32012134892142,31,0
3,34.37114011343021,35,0
0,5.196711801013008,36,5
0,13.387455094561618,37,0
3,37.89839366755331,40,2
3,40.4155214990192,41,0
0,18.415591022624472,42,2
3,42.79415941711146,46,2
0,36.060569843663785,47,2
1,47.224562957285414,53,3
1,47.49440597008945,54,0
1,50.56284838406726,58,3
1,50.73717207033228,59,0
1,50.7645720219665,61,1
1,57.30639643121379,62,0
1,57.624602260429704,63,0
1,66.61084958331465,67,0
1,66.61662197950957,68,0
1,69.27437668810174,70,0
0,36.71475856354594,71,5
0,39.869566008650054,83,4
0,40.281581308112855,84,0
0,43.090897296316754,86,1
0,51.957219723003476,87,0
0,53.433672364517555,88,0
0,56.8038436558828,89,0
0,71.48361910586598,91,1
0,81.44517362063097,92,0
0,87.80435880561527,93,0
0,93.35127743054512,94,0
0,94.45113396389085,95,0
0,95.92082683251525,96,0
3,47.539415456426724,98,6
3,49.69102455678362,105,3
3,51.49229803307797,107,1
3,51.686892947356796,108,0
3,56.276043229924724,109,0
3,57.71350171790234,110,0
3,65.58180858174177,111,0
3,66.44577872350585,112,0
3,72.66743127880713,113,0
3,78.85648285195815,116,2
3,83.42110455865789,117,0
3,88.00820574627672,119,1
3,88.14009320563467,120,0
3,89.65548219447359,121,0
3,92.54009876788112,122,0
3,99.9589369245202,123,0
3,102.71923249571847,124,0
3,106.75963257184677,125,0
3,108.76322825707754,126,0
3,122.75350099901274,127,0
3,122.8536811530917,128,0
3,128.0368364705804,129,0
3,131.19703489851102,132,0
3,141.43068209886266,142,0
3,143.63246781611014,144,0
2,5.004637962007558,146,7
2,5.725021938990019,147,0
2,10.37849938613562,148,0
2,14.14988041687013,149,0
2,15.01623696863977,150,0
2,21.208449315231867,151,0
2,30.274483599043197,152,0
2,33.880782760463354,153,0
2,35.229869997654156,154,0
3,154.3914301460897,157,2
2,36.18605945024756,158,2
2,43.69084503084284,159,0
2,50.40840232363863,160,0
2,53.38695594262591,161,0
2,55.33250768917897,162,0
2,60.368241357899215,164,1
2,60.83230099541245,165,0
2,78.23142168187465,166,0
2,79.49620596638324,167,0
2,84.29359812970155,168,0
2,85.47673586092783,169,0
2,86.26251464263875,171,1
2,87.18321822858455,172,0
2,88.99552302239984,173,0
2,90.87032855623342,174,0
3,174.59616210217413,177,2
3,175.47659260684645,178,0
3,176.2125879412743,180,1
2,99.59482528812019,181,3
2,99.69802750727379,182,0
2,101.04869156719269,183,0
2,101.40358772759954,184,0
2,103.54878710515514,185,0
2,109.4609945968871,186,0
3,186.0855919850382,189,2
2,112.38898241034701,191,2
2,119.30229046014911,192,0
3,192.98325350345465,195,2
2,120.04676894733065,197,2
2,120.06563976555431,198,0
2,132.2059679320753,199,0
3,199.03477124325298,207,3
2,133.05855532305927,209,3
2,136.48775372648456,210,0
2,141.49109243312424,211,0
2,143.83076541523093,212,0
2,170.4304860661607,213,0
2,171.3069942021159,214,0
2,175.43487880061727,215,0
2,185.37837083306638,216,0
2,185.59728725033364,217,0
2,188.78500997810056,218,0
2,194.08630020580713,219,0
2,194.1828342573181,222,2
2,199.34301155255918,223,0
2,201.33987072005482,225,1
2,201.43527103642282,226,0
2,201.55332445831803,227,0
2,201.58992815566327,228,0
2,204.21317925779422,230,1
2,205.8778105432634,231,0
2,207.88998427882152,232,0
2,210.33725210268244,233,0
2,210.4243447825025,235,1
2,214.42533834083494,236,0
2,218.73606141316284,237,0
2,221.10599815742208,238,0
2,221.47041157950235,240,1
2,226.9164310016537,241,0
2,237.7211343871808,242,0
3,219.50878422481162,244,5
2,244.6454220556379,247,2
2,248.4085543114459,250,1
2,251.146197513409,252,0
2,253.1524886315989,254,0
3,221.00686808195283,256,3
3,221.4284537915462,257,0
3,232.7280865427115,258,0
3,237.4096866698406,259,0
3,240.15260119136065,260,0
3,241.9729677260925,261,0
3,247.9294046474564,262,0
3,258.31548407873527,263,0
3,258.663851396498,264,0
3,263.3747963775808,265,0
2,265.48295855658034,269,2
3,264.99331963214433,270,2
3,270.3980523512223,271,0
3,277.16543544907745,278,0
2,278.6687902201876,279,0
3,279.8623257756524,288,3
3,282.4397336731095,290,1
3,288.63106657238325,292,1
3,291.58586896759624,293,0
3,293.68068018751023,294,0
3,301.8632179450908,302,0
3,302.8351833425816,303,0
2,278.88492437037996,305,5
2,280.4195796050317,314,4
2,282.0456332680788,315,0
2,282.46003534534844,317,1
