i,timestamp,t_time,collisions,base_t_time,satellite,sat_r_time
5,5.980114935856287,6,0,7,9,7.656543271246759
4,5.813932149487119,10,0,11,9,11.656601250944773
5,9.943749914444119,14,0,15,9,15.656659238493754
2,13.493045694748345,22,0,23,9,23.656775237135896
0,12.174189364020835,25,0,26,9,26.656818744717203
0,19.457804991529297,33,0,34,9,34.6569347864992
1,14.202171398760687,34,1,35,9,35.65694929392687
1,37.344817585802815,38,0,39,9,39.657007328535876
2,43.644630802535055,47,0,48,9,48.65713793505216
5,33.96134035018822,48,1,49,9,49.65715244933489
3,23.33322790358174,64,2,65,9,65.65738474439269
0,35.18384174934782,70,1,71,9,71.6574718873108
4,45.22859709648877,76,1,77,9,77.65755904782013
1,77.2609292003922,78,0,79,9,79.65758810523113
0,59.06251249486384,81,0,82,9,82.65763169501032
1,81.66331411192064,88,0,89,9,89.65773342158302
0,78.35886264495537,91,0,92,9,92.65777702600677
1,83.76280862262995,96,0,97,9,97.65784970980454
3,92.55628844273777,101,0,102,9,102.65792240579636
3,100.44919595226497,109,0,110,9,110.6580387447363
2,98.12421727605104,110,0,111,9,111.6580532892971
1,112.94830184744056,122,0,123,9,123.65822786202531
2,114.85408465164964,130,0,131,9,131.6583442827982
0,132.4563544010683,134,0,135,9,135.65840250486434
1,130.10921765942354,137,0,138,9,138.65844617652206
5,137.77727308253452,152,0,153,9,153.65866460045268
3,142.3254182375983,153,0,154,9,154.65867916593623
3,148.7805005713588,154,0,155,9,155.65869373190563
0,140.38291123585032,155,0,156,9,156.6587082983608
0,144.01632656953657,157,0,158,9,158.65873743272843
5,140.2983038798707,163,0,164,9,164.65882484748698
5,143.97347287935762,166,0,167,9,167.65886856142086
0,172.31513861003995,174,0,175,9,175.65898515326597
0,173.05141207881115,179,0,180,9,180.65905803893673
1,171.78071967341216,180,0,181,9,181.65907261752588
0,177.78804277048516,182,0,183,9,183.6591017761589
4,175.84708129291795,185,0,186,9,186.65914551774472
5,186.0255965777438,189,0,190,9,190.6592038466455
4,178.84297107627316,196,0,197,9,197.65930594087828
3,197.32688610856974,202,0,203,9,203.65939346911188
1,189.72252790683595,203,0,204,9,204.6594080588456
1,193.8396658467592,208,0,209,9,209.65948101477582
4,196.67372545706377,209,0,210,9,210.65949560741393
2,205.05541683247014,210,0,211,9,211.65951020053598
1,194.24626965362336,212,0,213,9,213.65953938823174
4,200.3894863305781,218,0,219,9,219.65962696293013
0,210.20202649575162,221,0,222,9,222.65967075680888
2,208.3703619903034,225,0,226,9,226.65972915541656
2,212.31059986159946,232,0,233,9,233.6598313715897
0,211.13656852806653,237,0,238,9,238.65990439763758
0,211.18218807131635,240,0,241,9,241.65994821906253
5,240.48815417533726,245,0,246,9,246.6600212644283
4,245.3938305555744,248,0,249,9,249.66006509744076
5,258.80185932256455,261,0,262,9,262.6602550906764
3,236.8971221917632,269,1,270,9,270.66037205009934
5,264.35791364535237,275,0,276,9,276.66045978990815
0,246.51301749701824,277,1,278,9,278.66048904036523
0,265.3151365023461,285,0,286,9,286.6606060614569
5,281.9196555559684,293,0,294,9,294.66072311335716
5,291.94216627396395,295,0,296,9,296.66075238114405
0,272.91799375471214,300,0,301,9,301.66082555902904
4,287.7545224382261,302,0,303,9,303.6608548335494
0,300.1307281525246,306,0,307,9,307.6609133883597
1,296.91858622770036,308,0,309,9,309.66094266864906
4,294.9261246139516,311,0,312,9,312.6609865926876
5,307.58858462316266,313,0,314,9,314.6610158777826
4,303.16866583924343,317,0,318,9,318.66107445373757
0,316.156414080271,326,0,327,9,327.66120627773125
0,331.4116839192012,334,0,335,9,335.6613234872559
4,326.3955610555312,336,0,337,9,337.6613527944352
1,327.40636081907087,342,0,343,9,343.66144072748403
1,340.5826036177634,343,0,344,9,344.66145538467055
5,335.0909181203738,351,0,352,9,352.6615726594195
1,343.5343800367726,354,0,355,9,355.66161664535764
4,345.3001441250106,356,0,357,9,357.66164597171183
5,354.6341705846387,362,0,363,9,363.66173396226935
1,360.7362536463653,365,0,366,9,366.66177796401246
0,373.0035333763499,374,0,375,9,375.66190999508814
1,366.3698853985295,377,0,378,9,378.6619540140592
4,374.70558064227487,378,0,379,9,379.6619686880062
3,375.00872487374846,383,0,384,9,384.66204206491454
2,390.7531787372244,393,0,394,9,394.66218885458477
1,385.5227580356819,401,0,402,9,402.66230632072194
4,379.18166281063617,403,1,404,9,404.66233569203195
0,401.61971007842317,405,0,406,9,406.66236506525166
5,401.6174875358556,409,0,410,9,410.66242381741927
3,380.11340140827167,412,1,413,9,413.66246788655604
4,380.61821680974106,414,0,415,9,415.6624972683663
3,406.5631463721867,422,0,423,9,423.6626148146874
0,410.4996654889596,425,0,426,9,426.66265890242596
4,395.8380530763433,428,0,429,9,429.66270299445483
3,407.36319371346394,430,0,431,9,431.66273239152383
5,420.5839719113133,436,0,437,9,437.66282059416653
3,430.36955188225687,443,0,444,9,444.6629235189225
2,445.8423629676033,449,1,450,9,450.66301175871035
4,450.5156283607866,454,0,455,9,455.6630853049545
5,424.3383590038978,457,1,458,9,458.6631294384101
5,429.6012157008754,470,0,471,9,471.6633207328391
0,417.349948719069,472,2,473,9,473.6633501698812
4,472.9654152765549,473,0,474,9,474.6633648891149
0,418.3898840845135,479,0,480,9,480.6634532144935
5,435.2126496558544,482,0,483,9,483.6634973835944
3,486.93187869145777,490,0,491,9,491.66361518875266
4,477.5553529472645,493,0,494,9,494.6636593735178
2,484.2695586523779,500,0,501,9,501.6637624879071
5,502.46062446987236,503,0,504,9,504.663806686902
4,486.8501816685639,505,0,506,9,506.66383615526917
2,494.25781031402585,510,0,511,9,511.66390983448235
4,489.5721983340289,521,0,522,9,522.6640719704467
0,513.1564116863829,526,0,527,9,527.6641456875554
2,529.6120839758264,530,0,531,9,531.6642046697629
0,523.2110282256847,532,0,533,9,533.664234163706
4,531.1964654574238,533,0,534,9,534.6642489113873
3,533.7230493665558,536,0,537,9,537.6642931572698
2,535.4222557925623,545,0,546,9,546.6644259204564
5,543.9658148666389,558,0,559,9,559.6646177570963
0,543.1442435933853,563,1,564,9,564.6646915616761
0,568.1646772834457,577,0,578,9,578.6648982772788
2,536.1924684446652,579,1,580,9,580.6649278156278
0,574.7096773439631,588,0,589,9,589.6650607615386
1,550.1434184742961,589,1,590,9,590.6650755356634
3,542.4701920345865,593,2,594,9,594.6651346368749
2,592.9624638819166,595,0,596,9,596.6651641903076
0,589.7007036824833,602,0,603,9,603.6652676421586
3,595.7137407864205,607,1,608,9,608.6653415504636
4,568.7160859226046,614,2,615,9,615.6654450418579
1,615.0025167082681,621,0,622,9,622.6655485563035
4,595.3565791335814,626,0,627,9,627.6656225093002
3,604.0279724267066,632,1,633,9,633.6657112684073
3,612.3110606442831,635,0,636,9,636.6657556543042
0,605.2901461386093,636,1,637,9,637.6657704505427
1,633.8830049634043,637,0,638,9,638.6657852472509
4,598.7526861519297,638,0,639,9,639.6658000444288
4,625.376039772349,640,0,641,9,641.6658296401936
1,644.5659904828188,645,0,646,9,646.6659036378223
0,631.7093206538457,647,0,648,9,648.6659332401601
3,654.6765767540078,663,1,664,9,664.6661701264262
0,662.4826905353102,666,0,667,9,667.6662145559667
5,664.9221288557529,669,0,670,9,670.6662589897256
1,659.7887654031766,671,1,672,9,672.6662886145749
0,666.8625118883255,677,0,678,9,678.6663775003669
4,696.5849128534976,703,1,704,9,704.6667628668814
4,700.1452662263264,707,0,708,9,708.6668221821027
1,704.7056094051902,709,0,710,9,710.6668518425176
3,694.9626889171564,711,1,712,9,712.666881504802
2,701.7675886755972,713,0,714,9,714.6669111689553
3,706.3270147352832,720,0,721,9,721.6670150082062
0,712.9167916656622,722,0,723,9,723.6670446807668
3,708.9439398513964,747,1,748,9,748.6674157452636
0,720.2373246818473,751,1,752,9,752.6674751426285
3,716.741951326181,761,0,762,9,762.6676236686518
3,754.3481701784679,763,0,764,9,764.6676533794448
1,755.1240172546056,767,0,768,9,768.6677128066173
2,761.1200935843337,777,0,778,9,778.6678614071228
1,777.9669961273265,778,0,779,9,779.667876269732
4,777.0637975150117,782,0,783,9,783.6679357248186
0,770.09170570243,786,0,787,9,787.667995187344
4,777.4096450522694,788,0,789,9,789.6680249213956
1,782.2401326161221,792,0,793,9,793.6680843950753
3,790.925264620886,793,0,794,9,794.6680992646568
0,774.1084848339435,796,0,797,9,797.6681438761887
0,775.2671467154726,802,0,803,9,803.6682331117921
4,800.954840549081,803,0,804,9,804.6682479860178
1,787.5708406905826,805,0,806,9,806.6682777358619
2,815.4946257805851,818,0,819,9,819.6684711550942
3,809.0294471173729,823,0,824,9,824.6685455679793
4,815.965297998904,847,1,848,9,848.6689029110852
0,776.4725650061656,848,1,849,9,849.6689178061695
5,841.3342156978524,852,0,853,9,853.668977391134
2,854.9564745457667,858,0,859,9,859.6690667824596
0,817.8239661505784,860,0,861,9,861.6690965832681
4,858.3547661792592,864,0,865,9,865.6691561904335
0,825.8264220529712,873,0,874,9,874.6692903335941
0,849.1978816012887,877,0,878,9,878.6693499647889
1,866.204151325856,880,0,881,9,881.6693946930345
5,878.7142626869926,886,0,887,9,887.6694841619916
0,893.1638071007532,905,0,906,9,906.6697675899379
2,895.0096427214958,908,0,909,9,909.6698123569352
2,909.3109293948105,911,0,912,9,912.6698571280797
3,902.2163367756555,916,0,917,9,917.6699317558682
5,906.564258850707,921,1,922,9,922.670006395171
5,908.2144680188123,929,0,930,9,930.6701258419946
5,912.0611154776948,930,0,931,9,931.6701407749185
4,903.6135764245167,943,2,944,9,944.6703349447886
1,929.7790665970971,944,1,945,9,945.6703498841512
4,913.455372244823,948,0,949,9,949.6704096461978
2,944.518055916448,951,0,952,9,952.6704544725579
3,948.2250027562068,955,0,956,9,956.6705142474701
2,947.243699054969,960,0,961,9,961.6705889764445
4,914.1443256563954,963,0,964,9,964.6706338193391
4,930.0527703817571,972,0,973,9,973.6707683728077
3,971.5964489891389,977,0,978,9,978.6708431407927
1,960.7162021805393,978,1,979,9,979.6708580957655
4,934.8927618265792,979,1,980,9,980.6708730511971
2,978.781098061043,980,0,981,9,981.670888007087
0,900.9253427172196,985,2,986,9,986.6709627934138
4,947.3131440719751,994,0,995,9,995.6710974376743
0,925.1331705643097,995,0,996,9,996.6711124004385
1,988.9696876274025,1001,0,1002,9,1002.6712021866399
4,960.6109202725218,1007,0,1008,9,1008.6712919893229
1,1015.997370423559,1018,0,1019,9,1019.6714566703579
2,1011.3575690058976,1020,0,1021,9,1021.67148661831
4,1014.2657226235327,1021,0,1022,9,1022.6715015929719
5,989.0679386097105,1024,1,1025,9,1025.6715465197005
0,1025.928235218133,1030,1,1031,9,1031.671636385498
0,1029.6809870420518,1035,0,1036,9,1036.671711286227
2,1016.9114044883167,1042,1,1043,9,1043.6718161664294
1,1044.5086189581014,1048,0,1049,9,1049.6719060815494
5,996.7331237263988,1049,1,1050,9,1050.671921069
0,1038.911616905296,1054,0,1055,9,1055.6719960130965
2,1040.5705019635197,1055,0,1056,9,1056.6720110032843
4,1041.0129792834641,1057,0,1058,9,1058.6720409850282
5,1025.998739501535,1059,0,1060,9,1060.672070968596
3,999.1653631364316,1063,2,1064,9,1064.6721309412026
4,1065.282866459382,1069,0,1070,9,1070.6722209137868
5,1032.5140571292222,1070,0,1071,9,1071.6722359108126
1,1060.9531635167796,1072,0,1073,9,1073.6722659062305
3,1032.029213892534,1076,1,1077,9,1077.6723259025325
3,1035.0385925102878,1092,0,1093,9,1093.672565960585
5,1035.1381540344926,1093,1,1094,9,1094.672580968081
5,1045.3915612516207,1096,0,1097,9,1097.6726259932989
2,1092.9334948981593,1099,0,1100,9,1100.6726710226094
5,1057.0478970773734,1104,0,1105,9,1105.6727460805532
5,1100.3699255087893,1111,0,1112,9,1112.672851180763
4,1086.888056531318,1114,1,1115,9,1115.6728962305249
0,1084.1292738941436,1120,1,1121,9,1121.672986342311
0,1097.6726359884237,1129,0,1130,9,1130.6731215406326
4,1094.370780183047,1130,0,1131,9,1131.6731365649373
4,1094.6882578806672,1139,0,1140,9,1140.673271804091
3,1140.7480441235548,1141,0,1142,9,1142.6733018622242
5,1132.691419714693,1147,0,1148,9,1148.6733920475028
4,1101.0642279097283,1148,0,1149,9,1149.673407079969
4,1105.937933331158,1150,0,1151,9,1151.6734371462599
2,1147.1247170814713,1152,0,1153,9,1153.6734672143632
4,1109.7822725972399,1155,0,1156,9,1156.6735123199153
5,1146.3420781255393,1159,0,1160,9,1160.6735724669913
2,1155.543262246304,1162,0,1163,9,1163.6736175820524
4,1144.0618173255698,1166,0,1167,9,1167.673677741804
5,1148.5621476567096,1173,0,1174,9,1174.6737830387906
4,1171.6328358813407,1175,0,1176,9,1176.673813127715
3,1166.822145163963,1177,0,1178,9,1178.6738432184484
4,1174.3891846228469,1178,0,1179,9,1179.6738582644934
1,1173.8655994516248,1186,0,1187,9,1187.6739786491273
4,1175.0647646435355,1187,0,1188,9,1188.6739936992406
0,1173.5695297471907,1188,0,1189,9,1189.6740087498054
0,1177.0305766409433,1197,0,1198,9,1198.6741442252178
4,1180.156692457131,1200,0,1201,9,1201.6741893918174
4,1206.3764177262076,1207,0,1208,9,1208.6742947963485
0,1192.5098325930667,1209,0,1210,9,1210.6743249159902
1,1214.3255707213052,1218,0,1219,9,1219.6744604767064
